N,Triton,Torch (native),Torch (jit)
256.0,682.7,682.7,295.5
384.0,761.3,768.0,341.9
512.0,780.2,856.7,381.0
640.0,819.2,787.7,401.6
768.0,847.4,819.2,416.5
896.0,863.1,843.3,427.9
1024.0,862.3,797.4,436.9
1152.0,854.8,801.4,434.5
1280.0,853.3,819.2,431.2
1408.0,834.4,804.6,421.1
1536.0,847.4,780.2,423.7
1664.0,845.2,783.1,412.8
1792.0,855.9,785.5,418.6
1920.0,867.1,797.9,409.6
2048.0,873.8,819.2,407.1
2176.0,859.7,838.9,400.2
2304.0,877.7,849.9,396.4
2432.0,884.4,864.7,385.3
2560.0,880.9,863.5,354.6
2688.0,877.7,868.8,355.4
2816.0,866.5,857.1,345.3
2944.0,880.4,858.4,343.8
3072.0,891.4,869.9,329.9
3200.0,882.8,867.8,324.1
3328.0,894.8,872.9,315.2
3456.0,891.9,877.7,299.7
3584.0,889.1,874.0,285.3
3712.0,895.0,873.4,278.8
3840.0,896.9,865.4,276.8
3968.0,894.2,869.5,272.5
4096.0,903.9,884.3,271.4
4224.0,901.1,883.5,267.6
4352.0,898.5,886.3,266.8
4480.0,901.6,879.5,265.5
4608.0,899.1,883.3,263.3
4736.0,902.1,881.1,261.9
4864.0,899.7,884.4,260.3
4992.0,897.4,881.2,258.1
5120.0,894.4,880.9,257.6
5248.0,898.1,879.2,256.4
5376.0,900.7,882.2,255.2
5504.0,898.6,880.6,254.9
5632.0,901.1,883.5,254.6
5760.0,899.1,881.9,253.5
5888.0,901.8,884.6,252.2
6016.0,903.8,882.6,251.7
6144.0,897.8,885.6,247.9
6272.0,896.0,880.3,250.3
6400.0,898.2,886.6,250.1
6528.0,900.4,888.1,249.4
6656.0,902.5,890.9,248.5
6784.0,904.5,889.7,249.0
6912.0,902.8,889.3,248.5
7040.0,905.5,890.4,247.8
7168.0,903.1,892.5,247.5
7296.0,901.4,884.4,247.3
7424.0,903.3,886.4,246.7
7552.0,898.4,885.2,246.6
7680.0,903.3,887.2,245.9
7808.0,902.0,886.5,245.7
7936.0,903.7,887.9,245.1
8064.0,902.5,884.0,244.6
8192.0,903.9,890.9,230.6
8320.0,902.5,890.4,230.5
8448.0,901.1,892.2,230.5
8576.0,899.8,893.9,230.2
8704.0,901.4,892.6,230.4
8832.0,903.0,891.6,230.1
8960.0,901.6,890.4,230.3
9088.0,897.6,892.1,230.3
9216.0,899.1,893.7,230.2
9344.0,900.3,892.1,230.4
9472.0,901.7,891.5,230.3
9600.0,903.5,887.9,229.9
9728.0,899.7,889.4,230.0
9856.0,903.1,888.4,230.2
9984.0,902.5,887.5,230.3
10112.0,901.3,889.0,230.5
10240.0,900.2,890.4,230.3
10368.0,901.6,889.5,230.6
10496.0,900.5,890.9,230.4
10624.0,903.9,892.3,230.4
10752.0,903.1,891.4,230.6
10880.0,902.0,890.4,230.7
11008.0,900.9,891.8,230.7
11136.0,902.2,890.9,230.7
11264.0,902.8,892.2,230.8
11392.0,902.3,884.8,230.9
11520.0,903.5,890.4,230.8
11648.0,902.5,887.5,230.9
11776.0,903.7,888.8,230.9
11904.0,900.5,883.8,231.0
12032.0,903.8,881.1,230.7
12160.0,904.9,882.4,230.7
12288.0,903.9,885.6,230.9
12416.0,903.0,882.9,230.9
12544.0,904.1,884.2,231.1
12672.0,903.1,881.5,219.3
